place_id,name,latitude,longitude,Main_category,categories,rating,address
ChIJ_____3N444kRhJdEJx1xscY,American Discount Roofing,42.3578474,-71.1840263,Finance,"roofing_contractor,general_contractor,point_of_interest,establishment,",,Newton
ChIJ____Pzie44kRaMlvj5itcVs,Bank of America Financial Center,42.4826282,-71.2145373,Finance,"bank,finance,point_of_interest,establishment,",3.7,"75 Middlesex Turnpike, Burlington"
ChIJ__-phBB644kR7Mej2-FHRyc,Church of Christ Scientist,42.3444202,-71.0854175,Community,"church,place_of_worship,point_of_interest,establishment,",4.2,"Church Edifice, 210 Massachusetts Ave, Boston"
ChIJ__-phBB644kRHe4I-52hNi4,"Christian Science Plaza, Boston",42.3445801,-71.084287,Community,"parking,church,place_of_worship,point_of_interest,establishment,",4.7,"250 Massachusetts Avenue, Boston"
ChIJ__PrcoKI44kRLemewl9FSxI,Ulta Beauty,42.2981544,-71.3821218,Community,"beauty_salon,hair_care,store,point_of_interest,establishment,",3.5,"1286 Worcester Street, Natick"
ChIJ_0_LpIVw44kRxMGnZCoJTmo,City of Boston,42.3601998,-71.057951,Community,"neighborhood,local_government_office,political,point_of_interest,establishment,",,"City of Boston, 1 City Hall Square, Boston"
ChIJ_3qMb0q744kRIoB4qI8KBrE,Greater Lowell Technical High School,42.6539016,-71.3858342,Education,"school,point_of_interest,establishment,",3.8,"250 Pawtucket Boulevard, Tyngsborough"
ChIJ_4-IgSOD44kR6Dk791SnJ0U,"Wendy Holdan, MSPT",42.3695493,-71.2493796,Health,"physiotherapist,health,point_of_interest,establishment,",,"9 Hope Avenue, Waltham"
ChIJ_4-IgSOD44kRz6OMtY4iXbk,"Dr. Robert K. Mcintyre, MD",42.3695493,-71.2493796,Health,"doctor,health,point_of_interest,establishment,",4,"9 Hope Avenue # 152, Waltham"
ChIJ_5XFat195IkRJbBjs36btMQ,C2 Body - Dedham,42.2566634,-71.166048,Health,"gym,health,point_of_interest,establishment,",,"200 Providence Highway, Dedham"
ChIJ_6XXGZR_44kRWbXmfqVw6K0,Papa Gino's,42.243154,-71.173284,Health,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment,",3.7,"600 Providence Highway, Dedham"
ChIJ_7_7HDKe44kRGHEBcrDtbL4,Lahey Clinic Medical Center: Dribinsky Loren MD,42.4845359,-71.2050211,Health,"doctor,health,point_of_interest,establishment,",,"41 Burlington Mall Road, Burlington"
ChIJ_7_7HDKe44kRyLB-_Nsiifg,"Dr. Frederick W. Heiss, MD",42.4845359,-71.2050211,Health,"doctor,health,point_of_interest,establishment,",,"41 Burlington Mall Road, Burlington"
ChIJ_7xKIjtj44kR-NGXb_ko-kY,Roche Bros. Quincy,42.238147,-70.983846,Health,"supermarket,florist,bakery,grocery_or_supermarket,store,food,point_of_interest,establishment,",4.1,"101 Falls Boulevard #3, Quincy"
ChIJ_alUdVyL44kR589SpRSnQlY,"Patricia L. Byler, PT",42.3537546,-71.5548638,Health,"physiotherapist,health,point_of_interest,establishment,",,"157 Union Street, Marlborough"
ChIJ_bTuuEGa44kR613sULxiBkY,ATA Cycle,42.4567667,-71.3570163,Health,"bicycle_store,store,point_of_interest,establishment,",4.9,"93 Thoreau Street, Concord"
ChIJ_bZGKKaB44kRKkl5Jq39hMk,Needham Police Department,42.2784826,-71.2366165,Community,"police,point_of_interest,establishment,",,"99 School Street, Needham"
ChIJ_cxJpB5j5IkRVGtgYI4X2nQ,Umiya Mata Mandir,42.0557573,-71.2452138,Community,"hindu_temple,place_of_worship,point_of_interest,establishment,",4.6,"52, 33 Commercial Street, Foxborough"
ChIJ_dgmSw5544kRnQ-wQiehifw,Hellenic College and Holy Cross Greek Orthodox School Of Theology,42.3172451,-71.1288803,Community,"university,church,place_of_worship,point_of_interest,establishment,",4.9,"50 Goddard Avenue, Brookline"
ChIJ_e0FANB044kRtCtYwmUPpBI,ProSource of Boston,42.5070546,-71.1332921,Finance,"roofing_contractor,furniture_store,home_goods_store,store,general_contractor,point_of_interest,establishment,",3.6,"20 Commerce Way, Woburn"
ChIJ_eAHzYdk44kRkFEabuv4sUE,Quincy Fire Department Hough's Neck Station,42.2678101,-70.9576289,Community,"fire_station,point_of_interest,establishment,",4,"1082 Sea Street, Quincy"
ChIJ_fXjoYv044kRX_EIlG6kmTg,Regal Cinemas Solomon Pond 15,42.35609,-71.613866,Community,"movie_theater,point_of_interest,establishment,",3.6,"591 Donald Lynch Boulevard, Marlborough"
